neck_2.x, neck_2.y, neck_2.z, right_shoulder_2.x, right_shoulder_2.y, right_shoulder_2.z, right_elbow_2.x,right_elbow_2.y, right_elbow_2.z, right_hand_2.x, right_hand_2.y, right_hand_2.z, right_hip_2.x,right_hip_2.y, right_hip_2.z, time.sec, time.nsec
2.814943,0.009908,0.712171,2.803178,-0.141557,0.711956,2.826337,-0.238639,0.449633,2.746780,-0.224888,0.145392,2.779563,-0.087978,0.275439,0,0
2.810673,0.011060,0.708174,2.794046,-0.139956,0.705133,2.824191,-0.237328,0.435543,2.746469,-0.225056,0.130746,2.779552,-0.078280,0.269114,0,0
2.817665,0.013248,0.715211,2.802863,-0.137985,0.713078,2.823143,-0.236684,0.440994,2.742555,-0.227744,0.136856,2.768915,-0.077306,0.278019,0,0
2.818166,0.013258,0.715722,2.805984,-0.138225,0.715612,2.823774,-0.237908,0.432747,2.727879,-0.269109,0.134708,2.769339,-0.083822,0.279898,0,0
2.817809,0.011416,0.715762,2.811864,-0.140388,0.718870,2.823239,-0.242106,0.430832,2.724690,-0.306137,0.139448,2.772534,-0.096764,0.282193,0,0
2.817538,0.008019,0.716208,2.819189,-0.143902,0.718600,2.822032,-0.261009,0.439849,2.719763,-0.356110,0.160462,2.774815,-0.100268,0.282378,0,0
2.818428,0.013599,0.717684,2.813350,-0.138243,0.717977,2.821650,-0.275999,0.455350,2.731866,-0.424322,0.194836,2.771567,-0.086689,0.282378,0,0
2.810597,0.014744,0.709937,2.802425,-0.137002,0.708943,2.828459,-0.299498,0.474540,2.739588,-0.490036,0.240025,2.772949,-0.081502,0.272859,0,0
2.814878,0.014694,0.713315,2.809096,-0.137154,0.711433,2.827807,-0.334322,0.488446,2.737086,-0.564633,0.288122,2.769404,-0.079234,0.276501,0,0
2.813308,0.014576,0.710563,2.809924,-0.137343,0.709255,2.829708,-0.352346,0.500869,2.739047,-0.597707,0.322144,2.771113,-0.081753,0.273967,0,0
2.808703,0.014989,0.712033,2.801338,-0.136733,0.707632,2.822468,-0.380914,0.535479,2.740614,-0.655700,0.408822,2.771419,-0.071609,0.272908,0,0
2.801790,0.013865,0.706445,2.791423,-0.137624,0.700335,2.824438,-0.404502,0.571441,2.749663,-0.697693,0.488634,2.773389,-0.067729,0.265773,0,0
2.803997,0.011503,0.705430,2.796996,-0.140250,0.701501,2.825934,-0.408069,0.604430,2.768453,-0.709790,0.554528,2.766504,-0.076542,0.266612,0,0
2.801781,0.008625,0.709047,2.797178,-0.143225,0.705275,2.837370,-0.426266,0.624805,2.772723,-0.734948,0.604235,2.775712,-0.080752,0.269706,0,0
2.799651,0.006716,0.709636,2.796841,-0.145173,0.705420,2.849049,-0.434284,0.648598,2.785739,-0.741055,0.645819,2.773091,-0.081648,0.270069,0,0
2.796648,0.006088,0.709105,2.793290,-0.145794,0.704995,2.859509,-0.442151,0.669440,2.802438,-0.750757,0.678721,2.780470,-0.082708,0.269113,0,0
2.794083,0.007579,0.706182,2.788552,-0.144251,0.702577,2.849946,-0.430131,0.668919,2.800419,-0.736261,0.683587,2.773319,-0.082317,0.266585,0,0
2.792044,0.007665,0.705969,2.786199,-0.144163,0.702498,2.849995,-0.431769,0.670472,2.805643,-0.741068,0.687080,2.770279,-0.082554,0.266474,0,0
2.791440,0.008514,0.708346,2.785987,-0.143324,0.704860,2.850632,-0.435714,0.669299,2.797430,-0.746821,0.682294,2.768618,-0.081672,0.268897,0,0
2.791830,0.007419,0.711650,2.786060,-0.144400,0.707762,2.849830,-0.443956,0.671029,2.789100,-0.745701,0.689979,2.768795,-0.081554,0.271970,0,0
2.791169,0.005603,0.710971,2.787611,-0.146282,0.707177,2.846856,-0.448112,0.671496,2.783366,-0.740597,0.704992,2.767392,-0.083917,0.271440,0,0
2.791653,0.004189,0.712786,2.787281,-0.147693,0.709590,2.845979,-0.460754,0.689553,2.797907,-0.753729,0.743191,2.767861,-0.086946,0.273585,0,0
2.784842,0.003377,0.706376,2.779032,-0.148446,0.702753,2.854249,-0.454347,0.707568,2.812857,-0.742369,0.776136,2.771635,-0.086724,0.266576,0,0
2.787481,0.003659,0.711698,2.780187,-0.148094,0.708079,2.862662,-0.458296,0.714194,2.812344,-0.739136,0.799105,2.769955,-0.086157,0.271994,0,0
2.791578,0.004674,0.710398,2.785426,-0.147160,0.707996,2.863338,-0.451527,0.713392,2.815239,-0.727872,0.802541,2.769226,-0.088576,0.271593,0,0
2.795809,0.006697,0.714575,2.789140,-0.145113,0.712377,2.871906,-0.455672,0.714660,2.824045,-0.731008,0.791707,2.761935,-0.086580,0.276616,0,0
2.791708,0.007419,0.708683,2.783657,-0.144312,0.705887,2.871370,-0.461328,0.711823,2.824183,-0.739731,0.773129,2.762282,-0.084092,0.269927,0,0
2.791080,0.008256,0.707663,2.781437,-0.143375,0.704807,2.862295,-0.459786,0.683842,2.806097,-0.747621,0.730733,2.762816,-0.082902,0.268735,0,0
2.792072,0.010907,0.705711,2.781330,-0.140676,0.703831,2.850908,-0.439588,0.642223,2.778471,-0.734328,0.635686,2.765378,-0.083026,0.267272,0,0
2.792932,0.011700,0.704967,2.783974,-0.140010,0.704257,2.841740,-0.408569,0.582400,2.740526,-0.687060,0.520581,2.768067,-0.085961,0.267295,0,0
2.794124,0.011204,0.709589,2.786027,-0.140544,0.708500,2.835844,-0.384452,0.521049,2.723766,-0.632657,0.386522,2.769332,-0.085474,0.271675,0,0
2.793068,0.009045,0.708705,2.785307,-0.142727,0.707268,2.824733,-0.338303,0.489118,2.724086,-0.549606,0.298193,2.772198,-0.086876,0.270387,0,0
2.793986,0.003816,0.709034,2.788737,-0.148065,0.707993,2.811725,-0.309524,0.469884,2.725243,-0.479060,0.237196,2.774556,-0.093571,0.270970,0,0
2.790164,0.001206,0.705629,2.783934,-0.150641,0.704484,2.807961,-0.291691,0.446738,2.725836,-0.423755,0.189032,2.781779,-0.096236,0.267343,0,0
2.794830,0.003097,0.706208,2.783520,-0.148440,0.704512,2.811748,-0.273820,0.441579,2.713543,-0.375530,0.169841,2.777614,-0.091989,0.267561,0,0
2.796837,0.003150,0.706241,2.784783,-0.148304,0.703649,2.812855,-0.266971,0.427314,2.710485,-0.337455,0.142131,2.779122,-0.089246,0.267033,0,0
2.795774,0.003851,0.705853,2.785430,-0.147759,0.704038,2.811333,-0.255867,0.425151,2.714946,-0.299208,0.135882,2.779544,-0.091029,0.267111,0,0
2.791241,0.002445,0.701816,2.781582,-0.149194,0.698949,2.811412,-0.249977,0.421137,2.695946,-0.266789,0.129266,2.782906,-0.089939,0.262398,0,0
